Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
com.example.examplefeature.exportpdf.DownloadPdfView.DownloadPdfView(PdfExportService);0;0;0.0;0;0;1.0;8.0;0.0013;4;4;8.0;3;1.0;0;83.2686;0;1;2;0;1
com.example.examplefeature.exportpdf.DownloadPdfView.downloadPdf(String, HttpServletRequest, HttpServletResponse);1;0;0.6;9;2;11.3846;3560.5887;0.0777;58;42;312.7544;21;0.3333;0;53.5998;1;2;11;0;3
com.example.examplefeature.exportpdf.DownloadPdfView.headerOr(HttpServletRequest, String, String);2;0;1.0;2;0;4.9;245.9284;0.0131;14;12;50.1895;4;0.0;0;74.8227;0;3;4;0;3
com.example.examplefeature.exportpdf.DownloadPdfView.resolveBaseUrl(HttpServletRequest);7;1;0.3333;11;0;21.4762;8390.5557;0.1376;72;43;390.6911;15;1.0;0;55.9224;0;8;9;0;1
com.example.examplefeature.exportpdf.ExportPdfPreviewView.ExportPdfPreviewView();1;0;0.75;16;2;14.0909;4482.9766;0.0906;59;42;318.1467;25;0.0;0;51.8901;1;2;7;0;0
com.example.examplefeature.exportpdf.PdfExportService.PdfExportService(TaskService);0;0;0.0;0;0;1.0;8.0;0.0013;4;4;8.0;3;1.0;0;83.2686;0;1;2;0;1
com.example.examplefeature.exportpdf.PdfExportService.exportTasksToPdfBytes();0;0;0.0;0;0;2.5;38.7744;0.0038;6;6;15.5098;4;0.0;0;78.6317;0;1;0;0;0
com.example.examplefeature.exportpdf.PdfExportService.exportTasksToPdfBytes(String);7;1;0.3429;29;9;64.75;108674.7434;0.7591;243;120;1678.3744;71;0.0588;1;36.775;3;7;30;1;1
com.example.examplefeature.exportpdf.PdfExportService.formatDate(Object);4;1;1.0;7;1;18.2;2883.9201;0.0675;38;18;158.4572;11;0.5;0;61.6716;1;5;3;0;1
com.example.examplefeature.exportpdf.PdfExportService.formatNow();0;0;0.5;2;0;2.5;38.7744;0.0038;6;6;15.5098;3;1.0;0;81.3571;0;1;1;0;0
